filing_id,parent_org,plan_name,contract_id,coverage_type,state,reporting_period,std_total,std_approved,std_denied,std_denial_rate,std_appeals_total,std_appeals_overturned,std_appeal_overturn_rate,exp_total,exp_approved,exp_denied,exp_denial_rate,std_tat_mean_days,std_tat_median_days,exp_tat_mean_hours,exp_tat_median_hours,reports_counts,quality_flags,source_url,extraction_note
f0111,California DHCS,Medi-Cal Dental Fee-for-Service,,Medicaid FFS,CA,CY2025,3138788,2212669,926119,29.51,2430,1623,66.79,,,,,4.8,5.0,,,True,clean,https://www.dhcs.ca.gov/vi/provgovpart/Documents/Interoperability-Prior-Auth-Metrics-Reports/Medi-Cal-Dental-2025-Prior-Auth-Metrics.pdf,"Expedited not separately available. Median (5 days) exceeds mean (4.8). Of 24,230 extensions, only 188 approved and 24,042 denied."
f0469,UnitedHealth Group,UnitedHealthcare Medicare Advantage - Contract H2001,H2001,Medicare Advantage,,CY2025,1854050,1419305,434745,23.45,,17236,56.9,74909,66274,8635,11.53,1.0,1.8,0.0,14.4,True,clean,https://www.uhc.com/content/dam/uhcdotcom/en/Legal/PDF/CMS-Interoperability-Medicare-Advantage-2025.pdf,"Expedited TAT printed in days; CONVERTED to hours (x24). Standard TAT as printed in days. UHC states it does not extend PA review timeframes, so no extension data exists. Mean TAT is printed as whole days beside/under the one-decimal median, so mean<median on most rows. No appeals-received count or external-review outcomes are published (nulls). No plan name/state published."
f0195,Colorado HCPF,Health First Colorado / CHP+ (13 PA programs combined),,Medicaid FFS,CO,CY2025,1746685,1349135,389506,22.3,890401,5026,0.56,165713,119832,45653,27.55,5.62,1.46,26.4,10.32,True,clean,https://hcpf.colorado.gov/cms-interoperability-and-prior-authorization-final-rule-cms-0057-f,"The 890,401 'appeals' denominator is the state's own unexplained basis for its approved-after-appeal metric, not an appeal count. Expedited approved uses 165,713 while expedited denied uses 165,719. State caveat: RAE data incomplete after new contracts effective July 1, 2025."
f0352,Ohio Department of Medicaid,Ohio Medicaid Managed Care - all plans combined,,Medicaid Managed Care,OH,CY2025,1175861,952896,222965,18.96,12366,4561,36.88,34414,28753,5661,16.45,3.0,3.0,24.0,24.0,True,clean,https://dam.assets.ohio.gov/image/upload/medicaid.ohio.gov/Providers/Billing/PriorAuthorization/Managed_Care-FinalPDF.pdf,Program-level roll-up. Extended-timeframe volume implausibly small as published (8 total across 1.2M requests).
ca-ccs-2025,California DHCS,California Children's Services (CCS),,Medicaid FFS,CA,CY2025,755850,555301,200549,26.53,15,1,6.67,,,,,9.0,2.0,,,True,clean,https://www.dhcs.ca.gov/vi/provgovpart/Documents/Interoperability-Prior-Auth-Metrics-Reports/CCS-2025-Prior-Auth-Metrics.pdf,"Document states all prior authorizations (standard and expedited) are reported together, so the denominator is combined. Headline figures are 555,301 approved / 200,549 denied of 755,850 (73%/27%); the 442,990 / 139,846 pair printed alongside is the within-7-days subset, not the total. Two independent extraction passes disagreed on which pair was the headline; resolved to the document total."
f0530,Virginia DMAS,Virginia Medicaid Fee-for-Service (Cardinal Care FFS),,Medicaid FFS,VA,CY2025,724465,547433,177032,24.44,11298,969,8.58,11501,8465,3036,26.4,5.2,,75.8,,True,clean,https://www.dmas.virginia.gov/media/mgokjgph/ffs-cy2025-annual-prior-authorization-cms-report.pdf,"Medians reported per FFS contractor only, not aggregated. Expedited mean TAT of 75.8 hours exceeds the 72-hour standard."
f0494,UnitedHealth Group,UnitedHealthcare Medicare Advantage - Contract H5253,H5253,Medicare Advantage,,CY2025,643001,521259,121742,18.93,,4686,55.9,22290,19836,2454,11.01,1.0,1.8,0.0,14.4,True,clean,https://www.uhc.com/content/dam/uhcdotcom/en/Legal/PDF/CMS-Interoperability-Medicare-Advantage-2025.pdf,"Expedited TAT printed in days; CONVERTED to hours (x24). Standard TAT as printed in days. UHC states it does not extend PA review timeframes, so no extension data exists. Mean TAT is printed as whole days beside/under the one-decimal median, so mean<median on most rows. No appeals-received count or external-review outcomes are published (nulls). No plan name/state published."
f0118,CareSource,CareSource Ohio Medicaid,,Medicaid Managed Care,OH,CY2025,603377,482701,120676,20.0,7572,2802,37.0,9563,7076,2487,26.01,4.0,4.0,24.0,24.0,True,clean,https://dam.assets.ohio.gov/image/upload/medicaid.ohio.gov/Providers/Billing/PriorAuthorization/Managed_Care-FinalPDF.pdf,Largest plan by volume in the Ohio Medicaid managed care file.
f0124,Centene,Ambetter Health Florida / Celtic (49004),49004,Marketplace QHP,FL,CY2025,419452,331373,88079,21.0,3670,2137,58.23,30415,24217,6198,20.38,4.0,0.0,24.0,24.0,True,clean,https://www.ambetterhealth.com/content/dam/centene/Sunshine/Ambetter/PDFs/FL_MKT_AH_49004_MetricsSummary_R.pdf,contract_id is the HIOS issuer ID. Largest marketplace filing by volume.
f0151,Centene,Health Net Medi-Cal,,Medicaid Managed Care,CA,CY2025,3096168,3020354,75814,2.45,1017,404,39.72,394719,377670,17049,4.32,2.0,0.0,24.0,0.0,True,clean,https://www.healthnet.com/content/dam/centene/healthnet/pdfs/provider/ca/provider-library/hn-provider-26-404-prior-auth-metrics.pdf,Largest single filing in the dataset by volume. Document carries a disclaimer that data is drawn from multiple operational systems and may differ from regulatory submissions.
